[INFO] [1782289811.505792692] [minipc_mavros_offboard]: Started minipc_mavros_offboard with arm_only=False, takeoff_height_m=0.8, hover_seconds=10.0, offboard_stabilize_seconds=20.0, use_rc_offboard=True, hold_after_arm_reject=True, ignore_z_in_arm_only=True, debug_hold_after_mode_drop=True, recent_pose_samples=30, require_vision_pose=True, vision_freshness_s=1.0, lift_only_seconds=2.5, z_ramp_seconds=2.0, target_xyz=(0.0, 0.0, -1.0), yaw_deg=0.0, auto_land=False, land_on_offboard_loss=True, offboard_land=True, offboard_land_speed_mps=0.1, offboard_land_auto_handoff_height_m=0.1, target_reached_tolerance_m=0.15, landed_hold_seconds=0.0, drift_guard_enabled=True, drift_warning_m=0.2, drift_land_m=0.3, drift_emergency_m=0.5, legacy_max_horizontal_drift_m=0.5, control_mode=mpc
[INFO] [1782289811.506040741] [minipc_mavros_offboard]: MPC parameters: dt=0.05, horizon_steps=20, max_vz=0.3, max_az=0.5, max_vxy=0.3, max_axy=0.5, xy_hold_weight=2.0, z_tracking_weight=3.0, velocity_weight=1.5, accel_weight=0.2, terminal_weight=4.0
[INFO] [1782289811.523146702] [minipc_mavros_offboard]: Waiting for MAVROS connection
[INFO] [1782289812.723472688] [minipc_mavros_offboard]: Waiting for MAVROS local odometry before arming
[INFO] [1782289812.724234253] [minipc_mavros_offboard]: Averaged MAVROS local odometry at lock x=0.09, y=0.07, z=-0.02
[INFO] [1782289812.724778381] [minipc_mavros_offboard]: Target setpoint locked to ENU for MAVROS local setpoint x=0.09, y=0.07, z_start=-0.02, z_final=0.98
[INFO] [1782289812.773099479] [minipc_mavros_offboard]: Streaming pre-arm MAVROS setpoints
[INFO] [1782289832.373697300] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.03, -0.05, -0.18), vel_err=(0.01, -0.02, -0.03), accel=(0.13, -0.36, -0.50)
[INFO] [1782289833.423679514] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.24, 0.43, 0.40)
[INFO] [1782289834.473261819] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.09, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.26, 0.43, 0.39)
[INFO] [1782289835.523160079] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.03, -0.09, -0.15), vel_err=(0.01, -0.02, -0.03), accel=(0.12, -0.49, -0.50)
[INFO] [1782289836.523672679] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.28, 0.42, 0.41)
[INFO] [1782289837.573273387] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.03, -0.11, -0.11), vel_err=(0.01, -0.02, -0.03), accel=(0.12, -0.48, -0.50)
[INFO] [1782289838.623175067] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.27, 0.41, 0.40)
[INFO] [1782289839.623358121] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.09, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.26, 0.43, 0.42)
[INFO] [1782289840.623282356] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.09, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.25, 0.43, 0.42)
[INFO] [1782289841.673744898] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.25, 0.40, 0.42)
[INFO] [1782289842.673681799] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.03, -0.11, -0.10), vel_err=(0.01, -0.02, -0.03), accel=(0.13, -0.48, -0.50)
[INFO] [1782289843.723297882] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.04, -0.11, -0.10), vel_err=(0.01, -0.02, -0.03), accel=(0.19, -0.46, -0.50)
[INFO] [1782289844.723554022] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.28, 0.41, 0.42)
[INFO] [1782289845.773262405] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, -0.10, -0.10), vel_err=(0.01, -0.02, -0.03), accel=(0.26, -0.43, -0.50)
[INFO] [1782289846.823217716] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.07, -0.10, -0.10), vel_err=(0.01, -0.02, -0.02), accel=(0.29, -0.41, -0.50)
[INFO] [1782289847.823523287] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.07, -0.09, -0.09), vel_err=(0.02, -0.02, -0.03), accel=(0.32, -0.39, -0.50)
[INFO] [1782289848.873484168] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.07, -0.08, -0.09), vel_err=(0.02, -0.02, -0.02), accel=(0.35, -0.36, -0.49)
[INFO] [1782289849.923156937] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.29, 0.41, 0.44)
