[INFO] [1782290126.935088282] [minipc_mavros_offboard]: Started minipc_mavros_offboard with arm_only=False, takeoff_height_m=0.8, hover_seconds=10.0, offboard_stabilize_seconds=20.0, use_rc_offboard=True, hold_after_arm_reject=True, ignore_z_in_arm_only=True, debug_hold_after_mode_drop=True, recent_pose_samples=30, require_vision_pose=True, vision_freshness_s=1.0, lift_only_seconds=2.5, z_ramp_seconds=2.0, target_xyz=(0.0, 0.0, -1.0), yaw_deg=0.0, auto_land=False, land_on_offboard_loss=True, offboard_land=True, offboard_land_speed_mps=0.1, offboard_land_auto_handoff_height_m=0.1, target_reached_tolerance_m=0.15, landed_hold_seconds=0.0, drift_guard_enabled=True, drift_warning_m=0.2, drift_land_m=0.3, drift_emergency_m=0.5, legacy_max_horizontal_drift_m=0.5, control_mode=mpc
[INFO] [1782290126.935849129] [minipc_mavros_offboard]: MPC parameters: dt=0.05, horizon_steps=20, max_vz=0.3, max_az=0.5, max_vxy=0.3, max_axy=0.5, xy_hold_weight=2.0, z_tracking_weight=3.0, velocity_weight=1.5, accel_weight=0.2, terminal_weight=4.0
[INFO] [1782290126.954873540] [minipc_mavros_offboard]: Waiting for MAVROS connection
[INFO] [1782290128.354842450] [minipc_mavros_offboard]: Waiting for MAVROS local odometry before arming
[INFO] [1782290128.355501220] [minipc_mavros_offboard]: Averaged MAVROS local odometry at lock x=0.02, y=-0.04, z=0.16
[INFO] [1782290128.355838888] [minipc_mavros_offboard]: Target setpoint locked to ENU for MAVROS local setpoint x=0.02, y=-0.04, z_start=0.16, z_final=1.16
[INFO] [1782290128.405364350] [minipc_mavros_offboard]: Streaming pre-arm MAVROS setpoints
[INFO] [1782290147.909465688] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.05, 0.23), vel_err=(-0.01, -0.01, 0.03), accel=(-0.12, -0.23, 0.50)
[INFO] [1782290148.955681775] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.04, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.08, -0.22, 0.50)
[INFO] [1782290149.955890078] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.22), vel_err=(-0.00, -0.01, 0.03), accel=(-0.07, -0.25, 0.50)
[INFO] [1782290151.005927496] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.22), vel_err=(-0.00, -0.01, 0.03), accel=(-0.06, -0.24, 0.50)
[INFO] [1782290152.054681032] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.06, -0.24, 0.50)
[INFO] [1782290153.055340971] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(0.00, -0.06, 0.07), vel_err=(-0.02, -0.01, 0.02), accel=(-0.41, -0.29, 0.35)
[INFO] [1782290154.056881802] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.07, -0.24, 0.50)
[INFO] [1782290155.105332627] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.04, -0.09, 0.03), vel_err=(-0.01, -0.02, 0.01), accel=(-0.12, -0.49, 0.11)
[INFO] [1782290156.112832287] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.08, -0.26, 0.50)
[INFO] [1782290157.158803049] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.07, -0.25, 0.50)
[INFO] [1782290158.207113553] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.04, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.07, -0.21, 0.50)
[INFO] [1782290159.255998458] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.09, -0.08, 0.00), vel_err=(-0.02, -0.02, -0.00), accel=(-0.40, -0.31, -0.02)
[INFO] [1782290160.305944211] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.09, -0.08, 0.01), vel_err=(-0.02, -0.02, 0.00), accel=(-0.37, -0.33, 0.01)
[INFO] [1782290161.305755226] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.04, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.08, -0.22, 0.50)
[INFO] [1782290162.355277122] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.04, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.08, -0.19, 0.50)
[INFO] [1782290163.355601813] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.06, -0.26, 0.50)
[INFO] [1782290164.407182488] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.06, -0.25, 0.50)
[INFO] [1782290165.455576329] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, -0.05, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.07, -0.25, 0.50)
[INFO] [1782290166.456771024] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.03, -0.04, 0.23), vel_err=(-0.01, -0.01, 0.03), accel=(-0.15, -0.19, 0.50)
[INFO] [1782290167.457792620] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.04, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.10, -0.22, 0.50)
[INFO] [1782290168.506858922] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.03, -0.04, 0.23), vel_err=(-0.01, -0.01, 0.03), accel=(-0.15, -0.19, 0.50)
[INFO] [1782290169.509040094] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.04, 0.23), vel_err=(-0.00, -0.01, 0.03), accel=(-0.08, -0.21, 0.50)
[INFO] [1782290170.555415787] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.03, -0.04, 0.23), vel_err=(-0.01, -0.01, 0.03), accel=(-0.15, -0.19, 0.50)
